# y+ ()       
# Time        	patch         	min           	max           	average       
27.3          	bodyWall	1.129515e-01	4.464697e+00	1.446284e+00
27.6          	bodyWall	1.193241e-01	4.584679e+00	1.608500e+00
27.9          	bodyWall	1.247025e-01	5.450604e+00	1.989582e+00
28.2          	bodyWall	7.141594e-02	5.847364e+00	2.122531e+00
28.5          	bodyWall	9.731694e-02	5.865183e+00	2.156557e+00
28.8          	bodyWall	7.502515e-02	5.595525e+00	2.121319e+00
29.1          	bodyWall	9.280200e-02	5.010729e+00	2.022359e+00
29.4          	bodyWall	6.181813e-02	4.835356e+00	1.830518e+00
29.7          	bodyWall	1.442512e-01	4.707809e+00	1.631101e+00
30            	bodyWall	1.177701e-01	4.555644e+00	1.440946e+00
30.3          	bodyWall	1.004493e-01	4.447821e+00	1.526991e+00
30.6          	bodyWall	1.543407e-01	4.366448e+00	1.480296e+00
30.9          	bodyWall	1.019883e-01	4.314725e+00	1.363409e+00
31.2          	bodyWall	1.249147e-01	4.290356e+00	1.314618e+00
31.5          	bodyWall	3.524057e-02	4.296789e+00	1.266809e+00
31.8          	bodyWall	9.314791e-02	4.303687e+00	1.224041e+00
32.1          	bodyWall	9.054727e-02	4.308329e+00	1.204711e+00
32.4          	bodyWall	5.269103e-02	4.316601e+00	1.200472e+00
32.7          	bodyWall	9.060504e-02	4.329013e+00	1.218631e+00
33            	bodyWall	6.032276e-02	4.368625e+00	1.322724e+00
33.3          	bodyWall	1.140090e-01	4.442366e+00	1.417590e+00
33.6          	bodyWall	8.646587e-02	4.593429e+00	1.481768e+00
33.9          	bodyWall	7.860774e-02	5.677223e+00	1.980519e+00
34.2          	bodyWall	7.194249e-02	6.323669e+00	2.156215e+00
34.5          	bodyWall	5.621143e-02	6.461590e+00	2.227166e+00
34.8          	bodyWall	3.983839e-02	6.236732e+00	2.220960e+00
35.1          	bodyWall	1.177808e-01	5.571034e+00	2.119500e+00
35.4          	bodyWall	2.102845e-01	4.864494e+00	1.891947e+00
35.7          	bodyWall	8.285619e-02	4.763447e+00	1.619784e+00
36            	bodyWall	1.332083e-01	4.830823e+00	1.482763e+00
36.3          	bodyWall	8.439502e-02	4.669605e+00	1.550313e+00
