Point ID,arc_length,Co,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
574,12.054,0.00580817,2.99286e-05,-0.0526208,nan,nan,-0.0164677,2,1.554,0.05,2.53326,0.645646,0.645645,-0.0182277,-2.60631e-21,0.645902,-0.0181828,-2.60674e-21,0.645902,0.443742,-0.0286453,-1.02733e-21,0.444666,1,0
575,12.075,0.00551056,2.95651e-05,-0.0498017,nan,nan,-0.0160606,2,1.575,0.05,2.5462,0.638529,0.638527,-0.017791,-9.26512e-22,0.638775,-0.017749,-9.26755e-22,0.638775,0.444727,-0.0273004,-4.11143e-22,0.445564,1,0
576,12.096,0.00535308,2.92793e-05,-0.0469797,nan,nan,-0.0156249,2,1.596,0.05,2.55924,0.631866,0.631865,-0.0174409,2.35574e-21,0.632105,-0.0174015,2.35581e-21,0.632106,0.445574,-0.0259964,7.76759e-22,0.446332,1,0
577,12.117,0.00520165,2.91616e-05,-0.0443157,nan,nan,-0.0151739,2,1.617,0.05,2.57239,0.625935,0.625933,-0.0177126,6.04561e-21,0.626184,-0.0176752,6.04613e-21,0.626185,0.446296,-0.0247395,2.13366e-21,0.446981,1,0
578,12.138,0.00505628,2.90033e-05,-0.0416791,nan,nan,-0.0147133,2,1.638,0.05,2.58564,0.620191,0.620188,-0.019145,7.21774e-21,0.620483,-0.0191093,7.21853e-21,0.620485,0.446854,-0.0235633,2.59655e-21,0.447474,1,0
579,12.159,0.0049239,2.86636e-05,-0.0395958,nan,nan,-0.0143264,2,1.659,0.05,2.599,0.61477,0.614767,-0.0192825,5.20881e-21,0.61507,-0.0192486,5.20942e-21,0.615072,0.447184,-0.0226533,1.89547e-21,0.447758,1,0
580,12.18,0.00480246,2.83016e-05,-0.0380121,nan,nan,-0.013999,2,1.68,0.05,2.61245,0.609908,0.609905,-0.017934,3.62576e-21,0.610169,-0.0179017,3.62618e-21,0.61017,0.44738,-0.0219199,1.34321e-21,0.447917,1,0
581,12.201,0.00468562,2.79653e-05,-0.0364843,nan,nan,-0.0136656,2,1.701,0.05,2.626,0.60527,0.605267,-0.0169523,2.70532e-21,0.605505,-0.0169215,2.70563e-21,0.605506,0.447504,-0.0212065,1.0337e-21,0.448007,1,0
582,12.222,0.00457617,2.76278e-05,-0.0349035,nan,nan,-0.0133455,2,1.722,0.05,2.63966,0.600455,0.600453,-0.0161921,1.69981e-21,0.600671,-0.0161629,1.70001e-21,0.600673,0.44754,-0.0204718,6.45881e-22,0.448008,1,0
583,12.243,0.00447035,2.732e-05,-0.0333714,nan,nan,-0.0130208,2,1.743,0.05,2.6534,0.59585,0.595848,-0.0157258,4.81856e-22,0.596056,-0.0156978,4.81928e-22,0.596057,0.447516,-0.0197491,1.69663e-22,0.447952,1,0
