Point ID,arc_length,Co,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
0,0,0.000538867,6.73619e-13,0.000851084,nan,nan,0.00310977,3,-10.5,0.05,10.9203,0.406174,0.406174,0,0,0.406174,0,0,0.406174,0.408539,0,0,0.408539,1,0
1,0.0209999,0.000538869,6.71179e-13,0.000850361,nan,nan,0.0031092,3,-10.479,0.05,10.9001,0.406175,0.406175,-1.88573e-05,0,0.406175,-1.88561e-05,0,0.406175,0.408543,-1.91508e-05,0,0.408543,1,0
2,0.0419998,0.000538871,6.6874e-13,0.000849639,nan,nan,0.00310863,3,-10.458,0.05,10.8799,0.406176,0.406176,-3.77146e-05,0,0.406176,-3.77122e-05,0,0.406176,0.408548,-3.83016e-05,0,0.408548,1,0
3,0.0629997,0.000538872,6.663e-13,0.000848917,nan,nan,0.00310806,3,-10.437,0.05,10.8597,0.406177,0.406177,-5.65719e-05,0,0.406177,-5.65684e-05,0,0.406177,0.408553,-5.74525e-05,0,0.408553,1,0
4,0.0839996,0.000538874,6.6386e-13,0.000848195,nan,nan,0.00310749,3,-10.416,0.05,10.8395,0.406178,0.406178,-7.54292e-05,0,0.406178,-7.54245e-05,0,0.406178,0.408557,-7.66033e-05,0,0.408557,1,0
5,0.105,0.000538876,6.6142e-13,0.000847472,nan,nan,0.00310692,3,-10.395,0.05,10.8194,0.406179,0.406179,-9.42865e-05,0,0.406179,-9.42806e-05,0,0.406179,0.408562,-9.57541e-05,0,0.408562,1,0
6,0.126,0.000538877,6.58981e-13,0.00084675,nan,nan,0.00310635,3,-10.374,0.05,10.7992,0.40618,0.40618,-0.000113145,0,0.40618,-0.000113138,0,0.40618,0.408566,-0.000114906,0,0.408566,1,0
7,0.147,0.000538879,6.56541e-13,0.000846028,nan,nan,0.00310578,3,-10.353,0.05,10.779,0.406181,0.406181,-0.000132002,0,0.406181,-0.000131994,0,0.406181,0.408571,-0.000134057,0,0.408571,1,0
8,0.168,0.000538881,6.54101e-13,0.000845305,nan,nan,0.00310521,3,-10.332,0.05,10.7588,0.406182,0.406182,-0.000150859,0,0.406182,-0.00015085,0,0.406182,0.408575,-0.000153207,0,0.408575,1,0
9,0.189,0.000538883,6.51662e-13,0.000844583,nan,nan,0.00310464,3,-10.311,0.05,10.7387,0.406183,0.406183,-0.000169717,0,0.406183,-0.000169706,0,0.406183,0.40858,-0.000172358,0,0.40858,1,0
10,0.21,0.000538884,6.49222e-13,0.000843861,nan,nan,0.00310407,3,-10.29,0.05,10.7185,0.406184,0.406184,-0.000188574,0,0.406184,-0.000188562,0,0.406184,0.408584,-0.000191509,0,0.408584,1,0
11,0.231,0.000538886,6.46782e-13,0.000843139,nan,nan,0.00310349,3,-10.269,0.05,10.6984,0.406186,0.406186,-0.000207431,0,0.406186,-0.000207418,0,0.406186,0.408589,-0.00021066,0,0.408589,1,0
12,0.252,0.000538888,6.44342e-13,0.000842416,nan,nan,0.00310292,3,-10.248,0.05,10.6782,0.406187,0.406187,-0.000226289,0,0.406187,-0.000226274,0,0.406187,0.408593,-0.000229811,0,0.408593,1,0
13,0.273,0.000538889,6.41903e-13,0.000841694,nan,nan,0.00310235,3,-10.227,0.05,10.6581,0.406188,0.406188,-0.000245146,0,0.406188,-0.00024513,0,0.406188,0.408598,-0.000248961,0,0.408598,1,0
14,0.294,0.000538891,6.39463e-13,0.000840972,nan,nan,0.00310178,3,-10.206,0.05,10.6379,0.406189,0.406189,-0.000264003,0,0.406189,-0.000263987,0,0.406189,0.408602,-0.000268112,0,0.408602,1,0
15,0.315,0.000538893,6.37023e-13,0.00084025,nan,nan,0.00310121,3,-10.185,0.05,10.6178,0.40619,0.40619,-0.00028286,0,0.40619,-0.000282843,0,0.40619,0.408607,-0.000287263,0,0.408607,1,0
