Point ID,arc_length,Co,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
0,0,0.00230881,1.09264e-13,0.000938797,nan,nan,0.00418499,0.5,-10.5,0.05,10.512,0.404005,0.404005,0,0,0.404005,0,0,0.404005,0.40584,0,0,0.40584,1,0
1,0.0209999,0.00230883,1.08889e-13,0.000937586,nan,nan,0.00418462,0.5,-10.479,0.05,10.491,0.404007,0.404007,-1.78717e-05,-7.78041e-34,0.404007,-1.78701e-05,-7.82384e-34,0.404007,0.405844,-2.58925e-05,-4.2647e-33,0.405844,1,0
2,0.0419998,0.00230885,1.08514e-13,0.000936374,nan,nan,0.00418425,0.5,-10.458,0.05,10.4701,0.404009,0.404009,-3.57434e-05,-1.55608e-33,0.404009,-3.57402e-05,-1.56477e-33,0.404009,0.405848,-5.17849e-05,-8.52939e-33,0.405848,1,0
3,0.0629997,0.00230886,1.08138e-13,0.000935163,nan,nan,0.00418388,0.5,-10.437,0.05,10.4491,0.404011,0.404011,-5.36151e-05,-2.33412e-33,0.404011,-5.36103e-05,-2.34715e-33,0.404011,0.405852,-7.76774e-05,-1.27941e-32,0.405852,1,0
4,0.0839996,0.00230888,1.07763e-13,0.000933951,nan,nan,0.00418351,0.5,-10.416,0.05,10.4281,0.404013,0.404013,-7.14868e-05,-3.11216e-33,0.404013,-7.14805e-05,-3.12954e-33,0.404013,0.405857,-0.00010357,-1.70588e-32,0.405857,1,0
5,0.105,0.0023089,1.07388e-13,0.000932739,nan,nan,0.00418314,0.5,-10.395,0.05,10.4071,0.404015,0.404015,-8.93585e-05,-3.8902e-33,0.404015,-8.93506e-05,-3.91192e-33,0.404015,0.405861,-0.000129462,-2.13235e-32,0.405861,1,0
6,0.126,0.00230892,1.07013e-13,0.000931527,nan,nan,0.00418277,0.5,-10.374,0.05,10.3862,0.404017,0.404017,-0.000107231,-4.66828e-33,0.404017,-0.000107222,-4.69434e-33,0.404017,0.405865,-0.000155356,-2.55884e-32,0.405865,1,0
7,0.147,0.00230893,1.06637e-13,0.000930316,nan,nan,0.0041824,0.5,-10.353,0.05,10.3652,0.404019,0.404019,-0.000125103,-5.44632e-33,0.404019,-0.000125092,-5.47673e-33,0.404019,0.405869,-0.000181248,-2.98531e-32,0.405869,1,0
8,0.168,0.00230895,1.06262e-13,0.000929104,nan,nan,0.00418203,0.5,-10.332,0.05,10.3442,0.404021,0.404021,-0.000142974,-6.22436e-33,0.404021,-0.000142962,-6.25911e-33,0.404021,0.405873,-0.000207141,-3.41178e-32,0.405873,1,0
9,0.189,0.00230897,1.05887e-13,0.000927893,nan,nan,0.00418166,0.5,-10.311,0.05,10.3232,0.404023,0.404023,-0.000160846,-7.0024e-33,0.404023,-0.000160832,-7.04149e-33,0.404023,0.405877,-0.000233033,-3.83825e-32,0.405878,1,0
10,0.21,0.00230899,1.05512e-13,0.000926681,nan,nan,0.00418129,0.5,-10.29,0.05,10.3023,0.404025,0.404025,-0.000178718,-7.78045e-33,0.404025,-0.000178702,-7.82388e-33,0.404025,0.405882,-0.000258926,-4.26471e-32,0.405882,1,0
11,0.231,0.00230901,1.05137e-13,0.000925469,nan,nan,0.00418092,0.5,-10.269,0.05,10.2813,0.404027,0.404027,-0.00019659,-8.55849e-33,0.404027,-0.000196572,-8.60626e-33,0.404027,0.405886,-0.000284818,-4.69118e-32,0.405886,1,0
12,0.252,0.00230902,1.04761e-13,0.000924258,nan,nan,0.00418055,0.5,-10.248,0.05,10.2603,0.404029,0.404029,-0.000214461,-9.33653e-33,0.404029,-0.000214442,-9.38865e-33,0.404029,0.40589,-0.000310711,-5.11765e-32,0.40589,1,0
13,0.273,0.00230904,1.04386e-13,0.000923046,nan,nan,0.00418018,0.5,-10.227,0.05,10.2393,0.404031,0.404031,-0.000232333,-1.01146e-32,0.404032,-0.000232312,-1.0171e-32,0.404032,0.405894,-0.000336603,-5.54412e-32,0.405894,1,0
14,0.294,0.00230906,1.04011e-13,0.000921834,nan,nan,0.00417981,0.5,-10.206,0.05,10.2184,0.404034,0.404034,-0.000250205,-1.08926e-32,0.404034,-0.000250182,-1.09534e-32,0.404034,0.405898,-0.000362496,-5.97059e-32,0.405898,1,0
15,0.315,0.00230908,1.03636e-13,0.000920623,nan,nan,0.00417944,0.5,-10.185,0.05,10.1974,0.404036,0.404036,-0.000268076,-1.16707e-32,0.404036,-0.000268053,-1.17358e-32,0.404036,0.405902,-0.000388388,-6.39706e-32,0.405903,1,0
16,0.336,0.00230909,1.0326e-13,0.000919411,nan,nan,0.00417907,0.5,-10.164,0.05,10.1764,0.404038,0.404038,-0.000285949,-1.24487e-32,0.404038,-0.000285923,-1.25182e-32,0.404038,0.405907,-0.000414282,-6.82355e-32,0.405907,1,0
17,0.357,0.00230911,1.02885e-13,0.000918199,nan,nan,0.0041787,0.5,-10.143,0.05,10.1554,0.40404,0.40404,-0.000303821,-1.32268e-32,0.40404,-0.000303794,-1.33006e-32,0.40404,0.405911,-0.000440174,-7.25002e-32,0.405911,1,0
