Point ID,arc_length,Co,CpMean,nut,p,phi,phi_0,pMean,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,vtkValidPointMask,yPlus
219,4.599,0.00233164,0.036443,1.14293e-13,-0.00147788,nan,nan,0.00291544,1,-5.901,0.005,5.98513,0.40749,0.40749,-0.00286085,0,0.407501,-0.00286017,0,0.407501,0.413293,-0.00626242,0,0.41334,1,0
220,4.62,0.00233188,0.0362362,1.43908e-13,-0.00151216,nan,nan,0.0028989,1,-5.88,0.005,5.96443,0.407531,0.407531,-0.00285583,0,0.407541,-0.00285514,0,0.407541,0.413379,-0.00630116,0,0.413427,1,0
221,4.641,0.00233212,0.0360294,1.73524e-13,-0.00154644,nan,nan,0.00288235,1,-5.859,0.005,5.94373,0.407572,0.407572,-0.00285081,0,0.407582,-0.00285012,0,0.407582,0.413465,-0.0063399,0,0.413514,1,0
222,4.662,0.00233236,0.0358226,2.03141e-13,-0.00158072,nan,nan,0.00286581,1,-5.838,0.005,5.92303,0.407613,0.407613,-0.00284579,0,0.407623,-0.00284509,0,0.407623,0.413551,-0.00637864,0,0.4136,1,0
223,4.683,0.00233261,0.0356158,2.32756e-13,-0.001615,nan,nan,0.00284927,1,-5.817,0.005,5.90233,0.407654,0.407654,-0.00284078,0,0.407664,-0.00284007,0,0.407664,0.413637,-0.00641738,0,0.413687,1,0
224,4.704,0.00233285,0.035409,2.62372e-13,-0.00164927,nan,nan,0.00283272,1,-5.796,0.005,5.88164,0.407695,0.407695,-0.00283576,0,0.407705,-0.00283504,0,0.407705,0.413724,-0.00645612,0,0.413774,1,0
225,4.725,0.00233309,0.0352022,2.91988e-13,-0.00168355,nan,nan,0.00281618,1,-5.775,0.005,5.86094,0.407736,0.407736,-0.00283074,0,0.407746,-0.00283001,0,0.407746,0.41381,-0.00649486,0,0.413861,1,0
226,4.746,0.00233333,0.0349954,3.21604e-13,-0.00171783,nan,nan,0.00279963,1,-5.754,0.005,5.84025,0.407777,0.407777,-0.00282572,0,0.407787,-0.00282499,0,0.407787,0.413896,-0.0065336,0,0.413948,1,0
227,4.767,0.00233357,0.0347886,3.5122e-13,-0.00175211,nan,nan,0.00278309,1,-5.733,0.005,5.81956,0.407818,0.407818,-0.00282071,0,0.407828,-0.00281996,0,0.407828,0.413982,-0.00657234,0,0.414034,1,0
228,4.788,0.00233382,0.0345818,3.80836e-13,-0.00178639,nan,nan,0.00276655,1,-5.712,0.005,5.79888,0.407859,0.407859,-0.00281569,0,0.407868,-0.00281494,0,0.407868,0.414068,-0.00661108,0,0.414121,1,0
